,Exchange,Coin,Pair,Volume
53,Binance,Binance coin,BNB/USDT,"7,307,467"
54,Bittrex,Bitbay,BAY/BTC,"20,168"
55,Hitbtc,Bitclave,CAT/BTC,"2,118"
56,Binance,Bitcoin,BTC/USDT,"302,557,767"
57,Okex,Bitcoin cash,BCH/USDT,"33,563,623"
58,Okex,Bitcoin diamond,BCD/USDT,"94,363"
59,Hitbtc,Bitcoin gold,BTG/BTC,"1,715,905"
60,Bitfinex,Bitcoin interest,BCI/USD,"1,482"
61,Poloniex,Bitcoin plus,XBC/BTC,"3,749"
62,Hitbtc,Bitcoin private,BTCP/BTC,"35,865"
63,Poloniex,Bitcoindark,BTCD/BTC,215
64,Okex,Bitcoinx,BCX/BTC,"1,778"
65,Hitbtc,Bitcore,BTX/USDT,205
66,Bittrex,Bitcrystals,BCY/BTC,"4,663"
67,Hitbtc,Bitdice,CSNO/BTC,"3,669"
68,Hitbtc,Bitjob,STU/BTC,97
69,Okex,Bitkan,KAN/BTC,"307,605"
70,Poloniex,Bitmark,BTM/BTC,"20,685"
71,Bittrex,Bitsend,BSD/BTC,"20,049"
72,Binance,Bitshares,BTS/BTC,"188,786"
73,Hitbtc,Bitstation,BSTN/BTC,"7,419"
74,Bittrex,Bitswift,BITS/BTC,951
75,Bittrex,Bittube,TUBE/BTC,"37,152"
76,Bittrex,Blackcoin,BLK/BTC,"13,338"
77,Hitbtc,Blackmoon,BMC/USDT,"80,484"
78,Hitbtc,Blitzpredict,XBP/BTC,"49,439"
79,Kucoin,Block array,ARY/BTC,"1,124"
80,Binance,Blockmason credit protocol,BCPT/BTC,"381,058"
81,Hitbtc,Blockmesh,BMH/BTC,"2,412"
82,Bittrex,Blocknet,BLOCK/BTC,"14,959"
83,Kucoin,Blockport,BPT/BTC,"26,785"
84,Bittrex,Blocktix,TIX/BTC,"5,043"
85,Bittrex,Blockv,VEE/BTC,"26,980"
86,Bittrex,Bloom,BLT/BTC,"47,827"
87,Binance,Blox,CDT/BTC,"121,037"
88,Binance,Bluzelle,BLZ/BTC,"206,646"
89,Kucoin,Boscoin,BOS/BTC,"41,808"
90,Kucoin,Bounty0x,BNTY/BTC,81
91,Binance,Bread,BRD/BTC,"364,296"
92,Bittrex,Breakout,BRK/BTC,"7,016"
93,Bittrex,Breakout stake,BRX/BTC,471
94,Okex,Bt2 [cst],BT2/BTC,106
95,Hitbtc,Budbo,BUBO/BTC,211
96,Bittrex,Burst,BURST/BTC,"22,845"
97,Bittrex,Byteball bytes,GBYTE/BTC,"19,515"
98,Bittrex,Bytecent,BYC/BTC,660
99,Hitbtc,Bytecoin,BCN/BTC,"2,823,633"
100,Okex,Bytom,BTM/USDT,"843,036"
101,Bittrex,Cannabiscoin,CANN/BTC,"4,414"
102,Kucoin,Canyacoin,CAN/BTC,"26,122"
103,Kucoin,Cappasity,CAPP/BTC,"191,097"
104,Binance,Cardano,ADA/USDT,"12,308,284"
105,Kucoin,Cargox,CXO/BTC,"5,998"
106,Hitbtc,Cartaxi token,CTX/BTC,6
107,Kucoin,Carvertical,CV/BTC,"11,205"
108,Hitbtc,Cashaa,CAS/BTC,"1,741"
109,Kucoin,Cashbet coin,CBC/BTC,"23,575"
110,Hitbtc,Centrality,CENNZ/BTC,"306,562"
111,Hitbtc,Chainium,CHX/BTC,129
112,Binance,Chainlink,LINK/BTC,"1,034,716"
113,Kucoin,Change,CAG/BTC,466
114,Binance,Chatcoin,CHAT/BTC,"234,684"
115,Kucoin,Chronobank,TIME/BTC,"63,921"
116,Hitbtc,Chronologic,DAY/BTC,64
117,Binance,Cindicator,CND/BTC,"65,610"
118,Bittrex,Circuits of value,COVAL/BTC,"15,813"
119,Binance,Civic,CVC/BTC,"1,220,176"
120,Poloniex,Clams,CLAM/BTC,"8,996"
121,Hitbtc,Clearcoin,XCLR/BTC,115
122,Kucoin,Clearpoll,POLL/BTC,"15,016"
123,Binance,Cloakcoin,CLOAK/BTC,"64,648"
124,Hitbtc,Cloud,CLD/USDT,2
125,Bittrex,Cofound.it,CFI/BTC,"17,236"
126,Kucoin,Coinfi,COFI/BTC,"35,998"
127,Hitbtc,Coinlancer,CL/BTC,"5,056"
128,Kucoin,Coinpoker,CHP/BTC,"30,411"
129,Hitbtc,Coinvest,COIN/BTC,143
130,Hitbtc,Colu local network,CLN/BTC,"1,953"
131,Okex,Commerceblock,CBT/USDT,617
132,Hitbtc,Consentium,CSM/BTC,"3,104"
133,Kucoin,Constellation,DAG/BTC,"22,122"
134,Okex,Content and ad network,CAN/USDT,"1,436,861"
135,Hitbtc,Copytrack,CPY/BTC,1
136,Okex,Cortex,CTXC/USDT,"364,567"
137,Hitbtc,Cosmo coin,COSM/BTC,"58,862"
138,Hitbtc,Coss,COSS/BTC,0
139,Bittrex,Counterparty,XCP/BTC,"11,042"
140,Kucoin,Covesting,COV/BTC,"28,535"
141,Kucoin,Cpchain,CPC/BTC,"9,370"
142,Bittrex,Creditbit,CRB/BTC,"4,363"
143,Kucoin,Credits,CS/BTC,"33,244"
144,Bittrex,Crowd machine,CMCT/BTC,"50,736"
145,Bittrex,Crown,CRW/BTC,"5,961"
146,Hitbtc,Cryptaur,CPT/BTC,"15,151"
147,Hitbtc,Crypterium,CRPT/BTC,"750,414"
148,Hitbtc,Crypto20,C20/BTC,"1,316"
149,Hitbtc,Cryptonex,CNX/BTC,0
150,Hitbtc,Cryptoping,PING/BTC,0
151,Okex,Cube,AUTO/BTC,"86,224"
152,Bittrex,Curecoin,CURE/BTC,"1,159"
153,Hitbtc,Cvcoin,CVCOIN/USDT,368
154,Binance,Cybermiles,CMT/BTC,"402,358"
155,Okex,Cybervein,CVT/USDT,"184,434"
156,Kucoin,Dacc,DACC/BTC,"18,349"
157,Okex,Dadi,DADI/BTC,"413,731"
158,Hitbtc,Daneel,DAN/BTC,"4,630"
159,Okex,Dash,DASH/USDT,"5,098,076"
160,Hitbtc,Dashcoin,DSH/BTC,19
161,Kucoin,Data,DTA/BTC,"2,115"
162,Bittrex,Databits,DTB/BTC,289
163,Okex,Datum,DAT/USDT,"58,220"
164,Kucoin,Datx,DATX/BTC,146
165,Hitbtc,Dcorp utility,DRPU/BTC,291
166,Kucoin,Debitum,DEB/BTC,"41,447"
167,Bittrex,Decent,DCT/BTC,"21,034"
168,Hitbtc,Decentbet,DBET/BTC,"98,851"
169,Okex,Decentraland,MANA/BTC,"605,469"
170,Kucoin,Decision token,HST/BTC,"18,788"
171,Bittrex,Decred,DCR/BTC,"244,102"
172,Kucoin,Deepbrain chain,DBC/BTC,"19,650"
173,Kucoin,Deeponion,ONION/BTC,"3,106"
174,Okex,Delphy,DPY/USDT,"967,702"
175,Binance,Dent,DENT/BTC,"1,904,622"
176,Hitbtc,Dentacoin,DCN/BTC,"39,309"
177,Bittrex,Diamond,DMD/BTC,"5,440"
178,Bittrex,Digibyte,DGB/BTC,"573,769"
179,Hitbtc,Digitalnote,XDN/BTC,"670,496"
180,Binance,Digixdao,DGD/BTC,"221,670"
181,Hitbtc,Dimcoin,DIM/USDT,"23,018"
182,Hitbtc,Dipnet,DPN/BTC,"37,230"
183,Kucoin,Distributed credit chain,DCC/BTC,"410,466"
184,Binance,District0x,DNT/BTC,"127,916"
185,Bittrex,Dmarket,DMT/BTC,"44,585"
186,Binance,Dock,DOCK/BTC,"1,453,045"
187,Hitbtc,Dogecoin,DOGE/USDT,"699,605"
188,Hitbtc,Domraider,DRT/BTC,"103,291"
189,Bittrex,Dopecoin,DOPE/BTC,"1,793"
190,Hitbtc,Dorado,DOR/USDT,"48,555"
191,Hitbtc,Dovu,DOV/BTC,"8,083"
192,Hitbtc,Dragon coins,DRG/BTC,39
193,Kucoin,Dragonchain,DRGN/BTC,"79,096"
194,Hitbtc,Dubaicoin,DBIX/BTC,"5,043"
195,Hitbtc,Dws,DWS/BTC,926
196,Bittrex,Dynamic,DYN/BTC,"14,523"
197,Bittrex,E-gulden,EFL/BTC,418
198,Kucoin,Ebitcoin,EBTC/BTC,171
199,Bittrex,Eboost,EBST/BTC,"6,147"
200,Hitbtc,Echolink,EKO/USDT,416
201,Hitbtc,Edgeless,EDG/BTC,"242,682"
202,Okex,Egretia,EGT/USDT,"91,124"
203,Binance,Eidoo,EDO/BTC,"2,393,180"
204,Bittrex,Einsteinium,EMC2/BTC,"39,789"
205,Hitbtc,Ejoy,EJOY/BTC,"8,213"
206,Bittrex,Elastic,XEL/BTC,"39,455"
207,Kucoin,Elastos,ELA/BTC,"175,272"
208,Kucoin,Electrify.asia,ELEC/BTC,"7,307"
209,Kucoin,Electroneum,ETN/BTC,"36,047"
210,Hitbtc,Elementrem,ELE/BTC,3
211,Kucoin,Elixir,ELIX/BTC,"5,923"
212,Hitbtc,Emercoin,EMC/BTC,"749,894"
213,Okex,Encrypgen,DNA/BTC,"16,072"
214,Kucoin,Endor protocol,EDR/BTC,"19,557"
215,Bittrex,Energycoin,ENRG/BTC,"11,524"
216,Hitbtc,Engagement token,ENGT/BTC,"93,602"
217,Binance,Enigma,ENG/BTC,"909,401"
218,Okex,Enjin coin,ENJ/USDT,"285,041"
219,Hitbtc,Envion,EVN/BTC,"41,239"
220,Okex,Eos,EOS/USDT,"80,414,750"
221,Hitbtc,Eroscoin,ERO/BTC,"1,808"
222,Hitbtc,Ethbits,ETBS/BTC,20
223,Hitbtc,Etherecash,ECH/BTC,0
224,Okex,Ethereum,ETH/USDT,"65,255,554"
225,Okex,Ethereum classic,ETC/USDT,"39,521,009"
226,Hitbtc,Etheroll,DICE/BTC,0
227,Binance,Etherparty,FUEL/BTC,"208,788"
228,Binance,Ethlend,LEND/BTC,"131,787"
229,Binance,Ethos,BQX/BTC,"1,303,365"
230,Bittrex,Europecoin,ERC/BTC,225
231,Binance,Everex,EVX/BTC,"82,684"
232,Bittrex,Evergreencoin,EGC/BTC,"15,995"
233,Bitfinex,Everipedia,IQX/USD,"23,459"
234,Okex,Exchange union,XUC/USDT,"227,431"
235,Hitbtc,Exchangen,EXN/BTC,196
236,Bittrex,Exclusivecoin,EXCL/BTC,"2,200"
237,Bittrex,Expanse,EXP/BTC,"19,402"
238,Kucoin,Experty,EXY/BTC,"66,849"
239,Hitbtc,Faceter,FACE/BTC,"32,569"
240,Poloniex,Factom,FCT/BTC,"81,581"
241,Okex,Fairgame,FAIR/BTC,"89,952"
242,Hitbtc,Fantomcoin,FCN/BTC,487
243,Bittrex,Feathercoin,FTC/BTC,"3,996"
244,Hitbtc,Fintrux network,FTX/BTC,"3,952"
245,Okex,Firstblood,1ST/BTC,"459,495"
246,Hitbtc,Flip,FLP/BTC,106
247,Kucoin,Flixxo,FLIXX/BTC,260
248,Bittrex,Flo,FLO/BTC,"52,278"
249,Hitbtc,Flypme,FYP/BTC,"2,924"
250,Bittrex,Foldingcoin,FLDC/BTC,"9,997"
251,Kucoin,Fortuna,FOTA/BTC,"176,882"
252,Hitbtc,Freyrchain,FREC/BTC,"1,709,684"
253,Hitbtc,Friendz,FDZ/BTC,232
254,Hitbtc,Fujinto,NTO/BTC,71
255,Binance,Funfair,FUN/BTC,"297,518"
256,Hitbtc,Fuzex,FXT/BTC,"30,001"
257,Bittrex,Gambit,GAM/BTC,478
258,Okex,Game.com,GTC/USDT,"983,084"
259,Poloniex,Gamecredits,GAME/BTC,"47,273"
260,Okex,Gas,GAS/USDT,"694,756"
261,Kucoin,Gatcoin,GAT/BTC,970
262,Okex,Genaro network,GNX/BTC,"347,088"
263,Binance,Genesis vision,GVT/BTC,"517,700"
264,Bittrex,Geocoin,GEO/BTC,"8,865"
265,Okex,Gifto,GTO/USDT,"5,257,707"
266,Kucoin,Gladius token,GLA/BTC,888
267,Okex,Global social chain,GSC/USDT,"127,923"
268,Kraken,Gnosis,GNO/USD,"18,152"
269,Hitbtc,Gobyte,GBX/BTC,"1,518"
270,Kucoin,Gochain,GO/BTC,"186,426"
271,Bittrex,Goldcoin,GLD/BTC,"7,193"
272,Okex,Golem,GNT/USDT,"311,686"
273,Bittrex,Golos,GOLOS/BTC,"1,120"
274,Bittrex,Golos gold,GBG/BTC,"2,639"
275,Hitbtc,Greenmed,GRMD/BTC,"1,524"
276,Bittrex,Gridcoin,GRC/BTC,"2,024"
277,Binance,Groestlcoin,GRS/BTC,"191,002"
278,Bittrex,Gulden,NLG/BTC,"26,817"
279,Binance,Gxchain,GXS/BTC,"62,698"
280,Kucoin,Hacken,HKN/BTC,"4,464"
281,Hitbtc,Hackspace capital,HAC/BTC,0
282,Hitbtc,Happycoin,HPC/BTC,54
283,Kucoin,Havven,HAV/BTC,"166,086"
284,Hitbtc,Helbiz,HBZ/USDT,676
285,Bittrex,Hempcoin,THC/BTC,"5,568"
286,Hitbtc,Hero,HERO/BTC,26
287,Kucoin,Herocoin,PLAY/BTC,"37,380"
288,Okex,Hi mutual society,HMC/BTC,"105,703"
289,Okex,High performance blockchain,HPB/BTC,"900,824"
290,Hitbtc,Hirematch,HIRE/BTC,48
291,Okex,Hitchain,HIT/BTC,"3,096"
292,Hitbtc,Hive project,HVN/BTC,"4,839"
293,Binance,Holo,HOT/BTC,"352,057"
294,Hitbtc,Hoqu,HQX/BTC,"134,910"
295,Okex,Hshare,HSR/BTC,"8,030,984"
296,Hitbtc,Htmlcoin,HTML/BTC,448
297,Bittrex,Humaniq,HMQ/BTC,"30,573"
298,Poloniex,Huntercoin,HUC/BTC,"1,331"
299,Okex,Hycon,HYC/BTC,"894,896"
300,Okex,Hydro protocol,HOT/USDT,"20,962"
301,Bittrex,I/o coin,IOC/BTC,"4,160"
302,Binance,Icon,ICX/USDT,"6,903,152"
303,Binance,Iconomi,ICN/BTC,"80,649"
304,Hitbtc,Icos,ICOS/BTC,"4,041"
305,Binance,Iexec rlc,RLC/BTC,"51,320"
306,Bittrex,Ignis,IGNIS/BTC,"16,782"
307,Kucoin,Iht real estate protocol,IHT/BTC,175
308,Hitbtc,Imbrex,REX/BTC,756
309,Bittrex,Incent,INCNT/BTC,577
310,Hitbtc,Indahash,IDH/BTC,"1,855"
311,Hitbtc,Indicoin,INDI/BTC,3
312,Hitbtc,Ink,INK/BTC,1
313,Binance,Ins ecosystem,INS/BTC,"2,166,510"
314,Okex,Insurchain,INSUR/USDT,"120,586"
315,Okex,Internet node token,INT/BTC,"630,244"
316,Bittrex,Internet of people,IOP/BTC,"7,191"
317,Hitbtc,Investfeed,IFT/BTC,26
318,Bittrex,Ion,ION/BTC,"27,923"
319,Binance,Iost,IOST/BTC,"1,071,670"
320,Okex,Iot chain,ITC/BTC,"575,759"
321,Binance,Iota,IOTA/USDT,"8,982,201"
322,Binance,Iotex,IOTX/BTC,"330,784"
323,Okex,Ipchain,IPC/USDT,"36,685"
324,Kucoin,Iungo,ING/BTC,"16,459"
325,Hitbtc,Ivy,IVY/BTC,"2,120"
326,Hitbtc,Ixt,IXT/BTC,"1,158"
327,Kucoin,Jet8,J8T/BTC,"6,697"
328,Kucoin,Jibrel network,JNT/BTC,820
329,Hitbtc,Jury.online token,JOT/BTC,"33,529"
330,Hitbtc,Karatgold coin,KBC/BTC,"4,492"
331,Hitbtc,Karma,KRM/USDT,"18,266"
332,Okex,Kcash,KCASH/USDT,"989,506"
333,Kucoin,Kickcoin,KICK/BTC,"13,488"
334,Hitbtc,Kind ads token,KIND/BTC,"5,813"
335,Binance,Komodo,KMD/BTC,"128,536"
336,Bittrex,Kore,KORE/BTC,"7,557"
337,Hitbtc,Kubera coin,KBR/BTC,"11,048"
338,Kucoin,Kucoin shares,KCS/BTC,"111,657"
339,Okex,Kyber network,KNC/USDT,"589,756"
340,Kucoin,Lala world,LALA/BTC,"46,890"
341,Hitbtc,Lamden,TAU/BTC,"2,714"
342,Hitbtc,Lampix,PIX/BTC,555
343,Okex,Latoken,LA/BTC,"58,410"
344,Bittrex,Lbry credits,LBC/BTC,"13,156"
345,Hitbtc,Leadcoin,LDC/BTC,3
346,Hitbtc,Level up coin,LUC/BTC,"5,004"
347,Okex,Leverj,LEV/BTC,"1,760"
348,Okex,Libra credit,LBA/BTC,"371,392"
349,Hitbtc,Life,LIFE/BTC,"2,647"
350,Okex,Lightchain,LIGHT/BTC,"447,648"
351,Hitbtc,Linker coin,LNC/BTC,"26,521"
352,Okex,Linkeye,LET/USDT,"51,077"
353,Hitbtc,Lisk,LSK/BTC,"748,871"
354,Okex,Litecoin,LTC/BTC,"34,269,668"
355,Hitbtc,Litecoin cash,LCC/BTC,"1,996"
356,Kucoin,Locicoin,LOCI/BTC,"12,565"
357,Hitbtc,Locktrip,LOC/BTC,"64,636"
358,Bittrex,Lomocoin,LMC/BTC,"4,303"
359,Binance,Loom network,LOOM/BTC,"861,901"
360,Okex,Loopring,LRC/USDT,"589,016"
361,Binance,Lunyr,LUN/BTC,"409,807"
362,Kucoin,Lympo,LYM/BTC,"292,348"
363,Hitbtc,Maecenas,ART/BTC,"5,767"
364,Okex,Maggie,MAG/BTC,"6,984"
365,Bittrex,Magi,XMG/BTC,"5,140"
366,Hitbtc,Maidsafecoin,MAID/BTC,"824,315"
367,Binance,Mainframe,MFT/BTC,"1,410,719"
368,Okex,Maker,MKR/BTC,"41,500"
369,Bittrex,Matchpool,GUP/BTC,"34,521"
370,Kucoin,Matrix ai network,MAN/BTC,"38,372"
371,Hitbtc,Matryx,MTX/BTC,0
372,Hitbtc,Maximine coin,MXM/BTC,"2,188"
373,Hitbtc,Mcap,MCAP/BTC,"21,328"
374,Okex,Mco,MCO/BTC,"3,802,285"
375,Okex,Measurable data token,MDT/USDT,"6,318"
376,Kucoin,Medicalchain,MTN/BTC,"63,646"
377,Kraken,Melon,MLN/BTC,"82,946"
378,Bittrex,Memetic / pepecoin,MEME/BTC,"21,761"
379,Okex,Merculet,MVP/USDT,"9,401"
380,Bittrex,Mercury,MER/BTC,"1,924"
381,Binance,Metal,MTL/BTC,"656,889"
382,Bitfinex,Metaverse etp,ETP/USD,"2,365,075"
383,Okex,Micromoney,AMM/USDT,"1,466"
384,Hitbtc,Minereum,MNE/BTC,309
385,Hitbtc,Minexcoin,MNX/BTC,0
386,Okex,Mithril,MITH/USDT,"5,233,438"
387,Hitbtc,Mobilego,EMGO/BTC,626
388,Kucoin,Mobius,MOBI/BTC,809
389,Binance,Modum,MOD/BTC,"81,853"
390,Binance,Moeda loyalty points,MDA/BTC,"759,765"
391,Okex,Molecular future,MOF/BTC,"206,080"
392,Bittrex,Monacoin,MONA/BTC,"70,285"
393,Hitbtc,Monero,XMR/BTC,"5,153,799"
394,Hitbtc,Monero classic,XMC/BTC,27
395,Hitbtc,Monero original,XMO/BTC,"1,418"
396,Bittrex,Monetaryunit,MUE/BTC,"42,767"
397,Binance,Monetha,MTH/BTC,"123,038"
398,Bittrex,More coin,MORE/BTC,"64,916"
399,Hitbtc,Morpheus labs,MITX/BTC,"261,900"
400,Bittrex,Musicoin,MUSIC/BTC,"17,006"
401,Bittrex,Myriad,XMY/BTC,"15,793"
402,Bittrex,Naga,NGC/BTC,"7,815"
403,Poloniex,Namecoin,NMC/BTC,"9,657"
404,Hitbtc,Nanjcoin,NANJ/BTC,477
405,Binance,Nano,NANO/BTC,"8,469,366"
406,Binance,Navcoin,NAV/BTC,"105,757"
407,Hitbtc,Naviaddress,NAVI/BTC,"83,367"
408,Binance,Neblio,NEBL/BTC,"169,525"
409,Binance,Nebulas,NAS/BTC,"3,464,390"
410,Hitbtc,Nem,XEM/BTC,"1,541,326"
411,Binance,Neo,NEO/USDT,"12,767,542"
412,Bittrex,Neoscoin,NEOS/BTC,"6,587"
413,Hitbtc,Neumark,NEU/BTC,595
414,Hitbtc,Neurotoken,NTK/BTC,"87,438"
415,Bittrex,Nexium,NXC/BTC,"2,055"
416,Hitbtc,Nexo,NEXO/BTC,"28,223"
417,Binance,Nexus,NXS/BTC,"392,618"
418,Hitbtc,Noah coin,NOAH/BTC,"144,160"
419,Bittrex,Nolimitcoin,NLC2/BTC,"13,112"
420,Bittrex,Nubits,NBT/BTC,"40,679"
421,Binance,Nucleus vision,NCASH/BTC,"560,184"
422,Binance,Nuls,NULS/BTC,"1,100,162"
423,Bittrex,Numeraire,NMR/BTC,"6,704"
424,Kucoin,Nusd,NUSD/USDT,"26,343"
425,Hitbtc,Nxt,NXT/BTC,"781,536"
426,Binance,Oax,OAX/BTC,"32,617"
427,Hitbtc,Obsidian,ODN/BTC,155
428,Hitbtc,Octanox,OTX/BTC,94
429,Bittrex,Odyssey,OCN/BTC,"207,822"
430,Okex,Ofcoin,OF/USDT,"42,206"
431,Bittrex,Okcash,OK/BTC,"8,177"
432,Okex,Olympus labs,MOT/USDT,"15,080"
433,Binance,Omisego,OMG/BTC,"1,418,310"
434,Bittrex,Omni,OMNI/BTC,"6,580"
435,Kucoin,Oneledger,OLT/BTC,"7,604"
436,Okex,Oneroot network,RNT/USDT,"129,918"
437,Binance,Ontology,ONT/USDT,"65,389,034"
438,Kucoin,Open platform,OPEN/BTC,"179,854"
439,Hitbtc,Open trading network,OTN/BTC,4
440,Hitbtc,Opus,OPT/BTC,0
441,Okex,Origin sport,ORS/BTC,"1,510,186"
442,Kucoin,Origintrail,TRAC/BTC,"23,452"
443,Hitbtc,Ormeus coin,ORME/BTC,"2,392"
444,Binance,Ost,OST/BTC,"143,023"
445,Kucoin,Oyster,PRL/BTC,"85,462"
446,Kucoin,Oyster shell,SHL/BTC,"11,594"
447,Hitbtc,Paragon,PRG/USDT,"67,069"
448,Kucoin,Pareto network,PARETO/BTC,"1,781"
449,Bittrex,Particl,PART/BTC,"225,321"
450,Poloniex,Pascal coin,PASC/BTC,"9,772"
451,Bittrex,Patientory,PTOY/BTC,"5,844"
452,Hitbtc,Patron,PAT/BTC,"1,514"
453,Hitbtc,Paymon,PMNT/BTC,"1,846"
454,Hitbtc,Peculium,PCL/BTC,"7,092"
455,Hitbtc,Peercoin,PPC/USDT,"162,733"
456,Hitbtc,Penta,PNT/BTC,0
457,Bittrex,Pesetacoin,PTC/BTC,948
458,Kucoin,Phantasma,SOUL/BTC,724
459,Binance,Phoenix,PHX/BTC,"894,362"
460,Hitbtc,Pillar,PLR/USDT,414
461,Bittrex,Pinkcoin,PINK/BTC,"1,831"
462,Binance,Pivx,PIVX/BTC,"99,025"
463,Hitbtc,Playkey,PKT/BTC,427
464,Hitbtc,Pluton,PLU/BTC,78
465,Binance,Po.et,POE/BTC,"481,551"
466,Binance,Poa network,POA/BTC,"196,297"
467,Hitbtc,Polybius,PLBT/BTC,470
468,Binance,Polymath,POLY/BTC,"172,680"
469,Hitbtc,Polyswarm,NCT/BTC,"6,797"
470,Okex,Populous,PPT/USDT,"1,735,611"
471,Poloniex,Potcoin,POT/BTC,"8,844"
472,Binance,Power ledger,POWR/BTC,"337,762"
473,Hitbtc,Presearch,PRE/BTC,"49,507"
474,Okex,Primas,PST/USDT,"1,359,609"
475,Poloniex,Primecoin,XPM/BTC,"88,182"
476,Okex,Prochain,PRA/BTC,"1,695,106"
477,Bitfinex,Project pai,PAI/BTC,"91,771"
478,Bittrex,Propy,PRO/BTC,"309,860"
479,Kucoin,Publica,PBL/BTC,330
480,Hitbtc,Pumapay,PMA/BTC,"3,477"
481,Binance,Pundi x,NPXS/BTC,"1,975,329"
482,Kucoin,Pura,PURA/BTC,"1,895"
483,Binance,Qlc chain,QLC/BTC,"129,603"
484,Okex,Qtum,QTUM/USDT,"4,620,856"
485,Binance,Quantstamp,QSP/BTC,"86,156"
486,Hitbtc,Quantum,QAU/BTC,0
487,Bittrex,Quantum resistant ledger,QRL/BTC,"126,784"
488,Binance,Quarkchain,QKC/BTC,"6,317,369"
489,Okex,Qunqun,QUN/BTC,"44,411"
490,Okex,Qvolta,QVT/USDT,"1,518"
491,Bittrex,Qwark,QWARK/BTC,"2,341"
492,Bittrex,Radium,RADS/BTC,"8,885"
493,Binance,Raiden network token,RDN/BTC,"69,384"
494,Bittrex,Ravencoin,RVN/BTC,"161,627"
495,Kucoin,Rchain,RHOC/BTC,"29,892"
496,Okex,Read,READ/BTC,"34,682"
497,Okex,Realchain,RCT/USDT,"41,769"
498,Bittrex,Reddcoin,RDD/BTC,"1,486,318"
499,Okex,Refereum,RFR/BTC,"211,755"
500,Okex,Reftoken,REF/BTC,724
501,Hitbtc,Rentberry,BERRY/BTC,"2,905"
502,Okex,Republic protocol,REN/BTC,"232,207"
503,Binance,Request network,REQ/BTC,"332,620"
504,Kucoin,Restart energy mwat,MWAT/BTC,"9,021"
505,Hitbtc,Revain,R/BTC,"53,434"
506,Bittrex,Revolutionvr,RVR/BTC,"13,271"
507,Binance,Ripio credit network,RCN/BTC,"531,880"
508,Hitbtc,Rivetz,RVT/BTC,"3,038"
509,Bittrex,Rubycoin,RBY/BTC,505
510,Binance,Salt,SALT/BTC,"232,708"
511,Bittrex,Salus,SLS/BTC,"5,067"
512,Okex,Santiment network token,SAN/BTC,"4,368"
513,Hitbtc,Savedroid,SVD/BTC,"2,001"
