,Exchange,Coin,Pair,Volume
427,Okex,Ofcoin,OF/BTC,37217
428,Bittrex,Okcash,OK/BTC,8177
429,Okex,Olympus labs,MOT/BTC,6864
430,Binance,Omisego,OMG/BTC,1418310
431,Bittrex,Omni,OMNI/BTC,6580
432,Kucoin,Oneledger,OLT/BTC,7604
433,Okex,Oneroot network,RNT/BTC,1605
434,Binance,Ontology,ONT/BTC,44951662
435,Kucoin,Open platform,OPEN/BTC,179854
436,Hitbtc,Open trading network,OTN/BTC,4
437,Hitbtc,Opus,OPT/BTC,0
438,Okex,Origin sport,ORS/BTC,1510186
439,Kucoin,Origintrail,TRAC/BTC,23452
440,Hitbtc,Ormeus coin,ORME/BTC,2392
441,Binance,Ost,OST/BTC,143023
442,Kucoin,Oyster,PRL/BTC,85462
443,Kucoin,Oyster shell,SHL/BTC,11594
444,Hitbtc,Paragon,PRG/BTC,41
445,Kucoin,Pareto network,PARETO/BTC,1781
446,Bittrex,Particl,PART/BTC,225321
447,Poloniex,Pascal coin,PASC/BTC,9772
448,Bittrex,Patientory,PTOY/BTC,5844
449,Hitbtc,Patron,PAT/BTC,1514
450,Hitbtc,Paymon,PMNT/BTC,1846
451,Hitbtc,Peculium,PCL/BTC,7092
452,Hitbtc,Peercoin,PPC/BTC,75736
453,Hitbtc,Penta,PNT/BTC,0
454,Bittrex,Pesetacoin,PTC/BTC,948
455,Kucoin,Phantasma,SOUL/BTC,724
456,Binance,Phoenix,PHX/BTC,894362
457,Hitbtc,Pillar,PLR/BTC,268
458,Bittrex,Pinkcoin,PINK/BTC,1831
459,Binance,Pivx,PIVX/BTC,99025
460,Hitbtc,Playkey,PKT/BTC,427
461,Hitbtc,Pluton,PLU/BTC,78
462,Binance,Po.et,POE/BTC,481551
463,Binance,Poa network,POA/BTC,196297
464,Hitbtc,Polybius,PLBT/BTC,470
465,Binance,Polymath,POLY/BTC,172680
466,Hitbtc,Polyswarm,NCT/BTC,6797
467,Okex,Populous,PPT/BTC,663478
468,Poloniex,Potcoin,POT/BTC,8844
469,Binance,Power ledger,POWR/BTC,337762
470,Hitbtc,Presearch,PRE/BTC,49507
471,Okex,Primas,PST/BTC,3635
472,Poloniex,Primecoin,XPM/BTC,88182
473,Okex,Prochain,PRA/BTC,1695106
474,Bitfinex,Project pai,PAI/BTC,91771
475,Bittrex,Propy,PRO/BTC,309860
476,Kucoin,Publica,PBL/BTC,330
477,Hitbtc,Pumapay,PMA/BTC,3477
478,Binance,Pundi x,NPXS/BTC,1975329
479,Kucoin,Pura,PURA/BTC,1895
480,Binance,Qlc chain,QLC/BTC,129603
481,Okex,Qtum,QTUM/BTC,1851247
482,Binance,Quantstamp,QSP/BTC,86156
483,Hitbtc,Quantum,QAU/BTC,0
484,Bittrex,Quantum resistant ledger,QRL/BTC,126784
485,Binance,Quarkchain,QKC/BTC,6317369
486,Okex,Qunqun,QUN/BTC,44411
487,Okex,Qvolta,QVT/BTC,8
488,Bittrex,Qwark,QWARK/BTC,2341
489,Bittrex,Radium,RADS/BTC,8885
490,Binance,Raiden network token,RDN/BTC,69384
491,Bittrex,Ravencoin,RVN/BTC,161627
492,Kucoin,Rchain,RHOC/BTC,29892
493,Okex,Read,READ/BTC,34682
494,Okex,Realchain,RCT/BTC,34335
495,Bittrex,Reddcoin,RDD/BTC,1486318
496,Okex,Refereum,RFR/BTC,211755
497,Okex,Reftoken,REF/BTC,724
498,Hitbtc,Rentberry,BERRY/BTC,2905
499,Okex,Republic protocol,REN/BTC,232207
500,Binance,Request network,REQ/BTC,332620
501,Kucoin,Restart energy mwat,MWAT/BTC,9021
502,Hitbtc,Revain,R/BTC,53434
503,Bittrex,Revolutionvr,RVR/BTC,13271
504,Binance,Ripio credit network,RCN/BTC,531880
505,Hitbtc,Rivetz,RVT/BTC,3038
506,Bittrex,Rubycoin,RBY/BTC,505
507,Binance,Salt,SALT/BTC,232708
508,Bittrex,Salus,SLS/BTC,5067
509,Okex,Santiment network token,SAN/BTC,4368
510,Hitbtc,Savedroid,SVD/BTC,2001
511,Hitbtc,Segwit2x,B2X/BTC,78978
512,Binance,Selfkey,KEY/BTC,1733555
513,Okex,Selfsell,SSC/BTC,78381
514,Hitbtc,Sentinel,SENT/BTC,203648
515,Bittrex,Sequence,SEQ/BTC,1957
516,Hitbtc,Sether,SETH/BTC,1794
517,Bittrex,Shift,SHIFT/BTC,3311
518,Hitbtc,Shipchain,SHIP/BTC,1642
519,Kucoin,Shivom,OMX/BTC,4218
520,Okex,Show,SHOW/BTC,7729
521,Binance,Siacoin,SC/BTC,399027
522,Bittrex,Sibcoin,SIB/BTC,3012
523,Binance,Singulardtv,SNGLS/BTC,937415
524,Binance,Singularitynet,AGI/BTC,134247
525,Bittrex,Sirin labs token,SRN/BTC,216255
526,Okex,Six domain chain,SDA/BTC,15721
527,Hitbtc,Skincoin,SKIN/BTC,38
528,Binance,Skycoin,SKY/BTC,251005
529,Hitbtc,Smartcash,SMART/BTC,243994
530,Hitbtc,Smartmesh,SMT/BTC,0
531,Kucoin,Snovio,SNOV/BTC,16382
532,Hitbtc,Sociall,SCL/BTC,19091
533,Bittrex,Solarcoin,SLR/BTC,18214
534,Kucoin,Solaris,XLR/BTC,2812
535,Binance,Sonm,SNM/BTC,163796
536,Kucoin,Sophiatx,SPHTX/BTC,21339
537,Hitbtc,Spacechain,SPC/BTC,10
538,Hitbtc,Spectiv,SIG/BTC,76
539,Hitbtc,Speed mining service,SMS/BTC,0
540,Bittrex,Sphere,SPHR/BTC,10871
541,Hitbtc,Spindle,SPD/BTC,43954
542,Okex,Sportyco,SPF/BTC,23211
543,Bittrex,Spreadcoin,SPR/BTC,2546
544,Okex,Starchain,STC/BTC,23756
545,Binance,Status,SNT/BTC,847653
546,Bittrex,Stealth,XST/BTC,450
547,Binance,Steem,STEEM/BTC,218737
548,Bittrex,Steem dollars,SBD/BTC,41985
549,Binance,Stellar,XLM/BTC,11389705
550,Kucoin,Stk,STK/BTC,181
551,Hitbtc,Stockchain,SCC/BTC,151856
552,Hitbtc,Storiqa,STQ/BTC,21912
553,Okex,Storj,STORJ/BTC,130327
554,Binance,Storm,STORM/BTC,268721
555,Hitbtc,Stox,STX/BTC,1942
556,Hitbtc,Straks,STAK/BTC,78
557,Binance,Stratis,STRAT/BTC,234304
558,Binance,Streamr datacoin,DATA/BTC,824713
559,Binance,Substratum,SUB/BTC,268959
560,Okex,Suncontract,SNC/BTC,86186
561,Okex,Super bitcoin,SBTC/BTC,21380
562,Hitbtc,Suretly,SUR/BTC,0
563,Hitbtc,Swarm,SWM/BTC,43506
564,Bittrex,Swarm city,SWT/BTC,5343
